author_id,content,lead_id,created_at
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"today i acalled, talked on prices<br><span><br></span>",zcrm_480426000002028460,2026-03-26 12:00:55
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"Follow up 1:Tried calling him, sent him details",zcrm_480426000002041249,2026-03-26 18:08:03
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"follow up 1 : Tried calling him, he said he is travlling call me on 30th",zcrm_480426000002046423,2026-03-26 18:04:40
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,Wrong Number,zcrm_480426000002845205,2026-05-16 11:56:29
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,sfas,zcrm_480426000002856496,2026-04-18 16:03:49
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"Old lead, (Before zoho integration) got closed in April 2026<br><span><br></span>",zcrm_480426000003199476,2026-04-25 14:49:09
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,arfam testing,zcrm_480426000003616001,2026-05-16 11:52:19
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,AMIT SIR LEAD,zcrm_480426000003691121,2026-05-21 13:00:47
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"called him, his colluge has filled the form, he will call later.<br><span><br></span>",zcrm_480426000003936119,2026-05-11 19:45:29
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"he received the call, said he will give a call back",zcrm_480426000003963068,2026-05-11 19:46:21
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,"She received the call, said call me tomorrow at 6.30 pm",zcrm_480426000003994041,2026-05-11 19:49:34
ffcd0f9e-e9d2-4ad6-b6c1-f8bd010c7b35,dgasg,zcrm_480426000004475002,2026-05-21 12:03:58
68902508-bb23-4a05-9658-a7fcb77dc723,22 nd April - Sent a msg to connect . No Response,zcrm_480426000002028966,2026-04-23 09:10:04
68902508-bb23-4a05-9658-a7fcb77dc723,"Tried calling , ringing and then engage tone",zcrm_480426000002028966,2026-04-27 12:57:43
68902508-bb23-4a05-9658-a7fcb77dc723,Sent msg,zcrm_480426000002028966,2026-04-27 12:59:30
